initial_FB,initial_BM,id,#FB,#BM,day,exp,FB_type,collagen,plate,change_medium,strain,outlier,medium
1000,100,1000_100,1000,100.0,0,37,nmf,1,96,0,balb,0,dmem10
1000,1000,1000_1000,1000,1000.0,0,37,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,1000,10000.0,0,37,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,1000,100000.0,0,37,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,10000,0.0,0,37,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,10000,100.0,0,37,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,10000,1000.0,0,37,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,10000,10000.0,0,37,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,10000,100000.0,0,37,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,100000,0.0,0,37,nmf,1,96,0,balb,0,dmem10
100000,100,100000_100,100000,100.0,0,37,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,100000,1000.0,0,37,nmf,1,96,0,balb,0,dmem10
100000,10000,100000_10000,100000,10000.0,0,37,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,100.0,0,37,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,37,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,10000.0,0,37,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,100000.0,0,37,nmf,1,96,0,balb,0,dmem10
100000,100000,100000_100000,100000,100000.0,0,37,nmf,1,96,0,balb,0,dmem10
100,0,100_0,100,0.0,0,38,nmf,1,96,0,balb,0,dmem10
100,100,100_100,100,100.0,0,38,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,100,1000.0,0,38,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,100,10000.0,0,38,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,100,100000.0,0,38,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,1000,0.0,0,38,nmf,1,96,0,balb,0,dmem10
1000,100,1000_100,1000,100.0,0,38,nmf,1,96,0,balb,0,dmem10
1000,1000,1000_1000,1000,1000.0,0,38,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,1000,10000.0,0,38,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,1000,100000.0,0,38,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,10000,0.0,0,38,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,10000,100.0,0,38,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,10000,1000.0,0,38,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,10000,10000.0,0,38,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,10000,100000.0,0,38,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,100000,0.0,0,38,nmf,1,96,0,balb,0,dmem10
100000,100,100000_100,100000,100.0,0,38,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,100000,1000.0,0,38,nmf,1,96,0,balb,0,dmem10
100000,10000,100000_10000,100000,10000.0,0,38,nmf,1,96,0,balb,0,dmem10
100000,100000,100000_100000,100000,100000.0,0,38,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,100.0,0,38,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,38,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,10000.0,0,38,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,100000.0,0,38,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,1851.0,3,43,nmf,1,6,0,balb,0,dmem10
0,100000,0_100000,0,519.0,3,44,nmf,1,6,0,balb,0,dmem10
300,0,300_0,17,0.0,3,43,nmf,1,6,0,balb,0,dmem10
0,300,0_300,0,9.0,3,43,nmf,1,6,0,balb,0,dmem10
0,300,0_300,0,8.0,3,44,nmf,1,6,0,balb,0,dmem10
1000,0,1000_0,36,0.0,3,43,nmf,1,6,0,balb,0,dmem10
